2026-05-21 21:57:31,酒店旅游,希尔**店,lyn***@hilton.com,希尔顿酒店集团旗舰店-【618】-520元优惠券包限量1元抢,支出,1.00,中信银行信用卡(6963),交易关闭,2026052123001132981457459513	,T200P3303708816815032970	,,
2026-05-21 21:45:39,酒店旅游,永乐**店,hua***@hworld.com,【618】花间堂全国多店通兑2晚可拆分+双人早餐 部分周末不加价,支出,998.00,花呗,交易关闭,2026052123001132981400784101	,T200P3303069674567023788	,,
2026-05-21 21:32:06,酒店旅游,洲际**店,wdm***@wdtrip.com,享会员积分洲际酒店集团多品牌580+店2晚含早可拆分通兑 618,支出,588.00,花呗,交易关闭,2026052123001132981457454716	,T200P3303049695484023788	,,
2026-05-21 21:29:11,酒店旅游,洲际**店,wdm***@wdtrip.com,享会员积分洲际酒店集团多品牌580+店2晚含早可拆分通兑 618,支出,588.00,花呗,交易关闭,2026052123001132981400749453	,T200P3303053079044023788	,,
2026-05-21 21:18:45,美容美发,lo**店,lp.***@loreal.com,【618立抢】欧莱雅PRO沙龙染后亮泽滋养柔顺护色蜜桃罐发膜 等多件,支出,155.53,中信银行信用卡(6963),交易关闭,2026052123001132981400626878	,T200P3303040263418069797	,,
2026-05-21 21:18:45,母婴亲子,贝亲**店,bei***@leqee.com,贝亲Haberman哈伯曼婴儿宝宝水杯PPSU奶瓶学饮直饮吸管水杯旗舰店,支出,20.65,中信银行信用卡(6963),交易成功,2026052123001132981456025409	,T200P3303040263418114989	,,
2026-05-21 17:16:48,交通出行,滴滴出行,chu***@didichuxing.com,特惠快车打车-童师傅-05月21日行程,支出,10.00,中信银行信用卡(6963),交易成功,2026052122001432981457821656	,212_202605214044375001333223	,,
2026-05-21 16:55:40,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,12.61,中信银行信用卡(6963),交易成功,2026052123001432981457396469	,0064N202605210000000015788123701	,,
2026-05-21 10:34:46,其他,卡诗**店,ks.***@loreal.com,0.01元享好礼,支出,0.01,中信银行信用卡(6963),交易成功,2026052123001132981452128922	,T200P3303497892316124171	,,
2026-05-21 10:29:11,美容美发,悦木**店,ori***@cn.estee.com,【会员专享】悦木之源白胖子洁面15ml+苹果霜5ml尝鲜装,支出,19.90,中信银行信用卡(6963),交易关闭,2026052123001132981452066210	,T200P3302838483086069797	,,
2026-05-21 09:10:23,交通出行,滴滴出行,chu***@didichuxing.com,特惠快车打车-唐师傅-05月21日行程,支出,10.30,中信银行信用卡(6963),交易成功,2026052123001432981450147206	,212_202605214044107101865051	,,
2026-05-20 17:35:24,其他,lo**店,lp.***@loreal.com,预定赠品兑换券,支出,0.01,中信银行信用卡(6963),交易成功,2026052023001132981452028510	,T200P3302716011946023788	,,
2026-05-20 17:14:27,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,李若桃·手作酸奶铺(德阳旌阳文庙步行街店)外卖订单,支出,14.00,中信银行信用卡(6963),交易成功,2026052023001132981454445062	,13170600726052029039375386432	,,
2026-05-20 08:35:17,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,9.59,中信银行信用卡(6963),交易成功,2026052023001432981434032066	,0003N202605200000000015802352437	,,
2026-05-19 18:09:51,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026051923001432981429921260	,202605191506357540364832770	,,
2026-05-19 08:09:04,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,13.25,中信银行信用卡(6963),交易成功,2026051923001432981438662887	,0064N202605190000000015726740145	,,
2026-05-18 15:03:06,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,喜茶(德阳洋洋广场店)外卖订单,支出,9.00,中信银行信用卡(6963),交易成功,2026051823001132981434836951	,13150600726051859421638386432	,,
2026-05-17 08:56:56,美容美发,dp**店,cww***@163.com,【U先试用】DPDP光感沁肤款保湿贴贴霜试用装小样1g*3,支出,4.85,中信银行信用卡(6963),支付成功,20260517300000013632981228851663	,T200P3300029690338032970	,,
2026-05-16 17:48:26,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026051622001432981414452999	,202605161505265081547313154	,,
2026-05-15 18:34:54,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,185.63,建设银行信用卡(0796),交易成功,2026051523001432981410920702	,202605151504904223512154114	,,
2026-05-15 18:21:36,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,104.91,建设银行信用卡(0796),交易成功,2026051523001432981409098878	,202605151504910999716450306	,,
2026-05-15 16:11:45,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,茉酸奶(德阳旌阳文庙街店)外卖订单,支出,12.00,中信银行信用卡(6963),交易成功,2026051523001132981408954748	,13160600726051572251539386432	,,
2026-05-14 08:04:00,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,21.77,中信银行信用卡(6963),交易成功,2026051423001432981441269988	,0064N202605140000000015643517999	,,
2026-05-13 18:43:29,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,86.45,建设银行信用卡(0796),交易成功,2026051323001432981434338599	,202605131504183977486667778	,,
2026-05-12 12:06:37,酒店旅游,去哪儿网,zfb***@qunar.com,订单离店扣款,支出,700.70,中信银行信用卡(6963)&中信银行立减金,交易成功,2026051223001432981423180435	,NP177855879745191466206f41c34630	,,
2026-05-11 20:41:45,餐饮美食,盒马,shh***@163.com,【鲜果切】佳农菲律宾黑钻菠萝果切 500g,支出,10.93,中信银行信用卡(6963)&到店支付立减券,交易成功,2026051123001432981425151342	,P18M6666031260511297865524985	,,
2026-05-11 18:00:08,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,134.78,建设银行信用卡(0796),交易成功,2026051123001432981423292445	,202605111503455927014871042	,,
2026-05-11 14:46:25,交通出行,滴滴出行,chu***@didichuxing.com,特惠快车打车-田师傅-05月11日行程,支出,5.10,中信银行信用卡(6963),交易成功,2026051122001432981417139636	,212_202605118647308501744362	,,
2026-05-11 13:02:45,交通出行,滴滴出行,chu***@didichuxing.com,特惠快车打车-武师傅-05月11日行程,支出,5.40,中信银行信用卡(6963),交易成功,2026051123001432981414736637	,212_202605118647235901325366	,,
2026-05-11 12:39:43,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,李若桃·手作酸奶铺(重庆南岸江岸天街店)外卖订单,支出,16.90,余额宝,交易成功,2026051123001132981418141921	,13120600726051104446895386432	,,
2026-05-10 22:29:12,交通出行,滴滴出行,chu***@didichuxing.com,特惠快车打车-刘师傅-05月10日行程,支出,20.90,中信银行信用卡(6963),交易成功,2026051022001432981412132463	,212_202605108646817501119710	,,
2026-05-10 20:20:12,交通出行,滴滴出行,chu***@didichuxing.com,滴滴快车打车-杨师傅-05月10日行程,支出,7.60,中信银行信用卡(6963),交易成功,2026051022001432981413167310	,210_202605108646716801393008	,,
2026-05-10 18:02:18,交通出行,滴滴出行,chu***@didichuxing.com,特惠快车打车-吴师傅-05月10日行程,支出,11.20,中信银行信用卡(6963)&支付宝打车券,交易成功,2026051023001432981408361214	,212_202605108646584101845254	,,
2026-05-09 23:40:33,母婴亲子,棉奇**店,bbx***@163.com,儿童袜子男童夏季薄款纯棉童袜男孩宝宝春夏棉袜男孩超薄网眼丝袜,支出,16.80,中信银行信用卡(6963),交易成功,2026050923001132981409679621	,T200P3300665307025078979	,,
2026-05-09 23:40:33,服饰装扮,tb**3,132******57,高颅顶神器头发蓬松夹女垫发根固定发夹发卡头饰夹子风塑梳刘海夹,支出,4.63,中信银行信用卡(6963),交易成功,2026050923001132981411063160	,T200P3300665307025088161	,,
2026-05-08 19:37:52,交通出行,哈啰出行,zij***@hellobike.com,哈啰车费,支出,17.50,中信银行信用卡(6963),交易成功,2026050823001432981446876612	,CPR260508193749389289485530U	,,
2026-05-08 13:30:49,餐饮美食,新良**店,hen***@163.com,新良纯享高筋面粉500g日式吐司面包粉烘焙专用高筋粉披萨面粉原料,支出,12.80,中信银行信用卡(6963),支付成功,20260508300000015532981210066312	,T200P3298390934428032970	,,
2026-05-08 10:53:26,日用百货,爱***2,138******90,仙女山华邦酒店，舒适，各房型可订，周五周六有加价,支出,379.88,工商银行储蓄卡(8718)&工商银行立减金,交易成功,2026050823001132981446438878	,T200P3300863233557078979	,,
2026-05-07 15:42:22,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,12.61,中信银行信用卡(6963),交易成功,2026050722001432981435202866	,0064N202605070000000015626240315	,,
2026-05-07 11:15:10,日用百货,x***6,132******23,【全季最低6折】华住旗下所有酒店全国代订,支出,9.88,工商银行储蓄卡(8718)&工商银行立减金,交易关闭,2026050723001132981441908281	,T200P3300563317758042152	,,
2026-05-07 10:39:11,日用百货,爱***2,138******90,仙女山华邦酒店，舒适，各房型可订，周五周六有加价,支出,576.18,工商银行储蓄卡(8718)&工商银行立减金,交易关闭,2026050723001132981437729117	,T200P3300548701640023788	,,
2026-05-07 08:26:31,母婴亲子,to**贝,jhz***@njyongxu.com,户外儿童背带雨裤连体裤宝宝幼儿园玩沙滑雪耐脏防水透气冲锋裤,支出,70.40,中信银行信用卡(6963),支付成功,20260507300000013432981247580620	,T200P3298107363476023788	,,
2026-05-06 23:30:55,美容美发,dp**店,cww***@163.com,【U先试用】DPDP光感沁肤款保湿贴贴霜试用装小样1g*3,支出,0.00,,支付成功,2026050623001132981432981015	,T200P3300029690338032970	,,
2026-05-06 23:30:55,美容美发,法国**店,eco***@clarins.com,【视频派样】娇韵诗双萃粉底液尝鲜盒-不支持修改地址-会员体验装,支出,9.90,中信银行信用卡(6963),交易成功,2026050623001132981437920016	,T200P3300029690338023788	,,
2026-05-06 23:25:11,美容美发,毛戈**店,hui***@maogepingbeauty.com,【U先专享】毛戈平火花粉底液1ml*2回购享10元券,支出,9.90,中信银行信用卡(6963),交易成功,2026050623001132981431987060	,T200P3300467269492023788	,,
2026-05-06 23:25:11,美容美发,la**店,lan***@loreal.com,【顺手买一件】兰蔻全新菁纯精华粉底液尝鲜盒 正品小样体验装,支出,9.90,中信银行信用卡(6963),交易成功,2026050623001132981437940063	,T200P3300467269492032970	,,
2026-05-06 08:03:59,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,8.60,中信银行信用卡(6963),交易成功,2026050623001432981427895848	,0064N202605060000000015570226604	,,
2026-05-02 07:48:12,酒店旅游,浙江飞猪网络技术有限公司,q-a***@service.taobao.com,机票联订更优惠-未完成联订任务扣回已享优惠， 开启联订任务的订单号为：2701807717017023788,支出,20.00,中信银行信用卡(6963),交易成功,2026050223001132981458867322	,T200P3298977483079114989	,,
2026-04-29 19:46:20,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,来碗冰(德阳天籁福店)外卖订单,支出,16.95,中信银行信用卡(6963),交易成功,2026042923001132981444949919	,13190600726042999664991386432	,,
2026-04-28 17:45:35,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026042822001432981435373881	,202604281498741341845880834	,,
2026-04-28 11:45:51,餐饮美食,丑八**店,liy***@jinsihou.com.cn,【U先】丑八怪坚果巧克力黑巧10g单粒装纯可可脂休闲零食,支出,2.75,中信银行信用卡(6963),交易成功,2026042823001132981426747335	,T200P3298390934428023788	,,
2026-04-28 11:45:51,母婴亲子,美乐**店,yie***@163.com,美乐童年接个球球抛接球吸盘球趣味手掌手抛儿童户外玩具亲子互动,支出,19.90,中信银行信用卡(6963),交易成功,2026042823001132981428241374	,T200P3298390934428042152	,,
2026-04-28 11:45:51,餐饮美食,新良**店,hen***@163.com,新良纯享高筋面粉500g日式吐司面包粉烘焙专用高筋粉披萨面粉原料,支出,0.00,,支付成功,2026042823001132981429437235	,T200P3298390934428032970	,,
2026-04-28 08:13:58,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,13.81,中信银行信用卡(6963),交易成功,2026042823001432981429629913	,0064N202604280000000015436354838	,,
2026-04-27 08:09:03,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,8.20,中信银行信用卡(6963),交易成功,2026042723001432981424622379	,0064N202604270000000015458216841	,,
2026-04-26 21:13:14,母婴亲子,to**贝,jhz***@njyongxu.com,户外儿童背带雨裤连体裤宝宝幼儿园玩沙滑雪耐脏防水透气冲锋裤,支出,0.00,,支付成功,2026042623001132981422338249	,T200P3298107363476023788	,,
2026-04-26 18:47:26,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026042623001432981422941364	,202604261498016834491600898	,,
2026-04-24 16:07:46,交通出行,德阳裕兴公共交通有限责任公司,116***@qq.com,德阳公交-15路-563车(2026-04-24 16:07:42),支出,2.00,中信银行信用卡(6963),交易成功,2026042422001432981406575366	,202604242047588289484345346	,,
2026-04-23 10:48:29,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,7.20,中信银行信用卡(6963),交易成功,2026042323001432981400748837	,0064N202604230000000015336662430	,,
2026-04-23 08:50:11,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,13.11,中信银行信用卡(6963),交易成功,2026042322001432981459589677	,0064N202604230000000015333325007	,,
2026-04-22 10:47:01,餐饮美食,安琪**店,hea***@angelyeast.com,安琪耐高糖酵母官方正品高活性干酵母粉家用面包馒头专用发酵粉,支出,5.00,中信银行信用卡(6963),支付成功,20260422300000014432981248911167	,T200P2701831839066032970	,,
2026-04-22 09:02:16,运动户外,特步**店,jk2***@126.com,特步摸高跳训练器助长个子儿童青少年跳高触碰语音计数弹跳煅炼器,支出,35.90,中信银行信用卡(6963),支付成功,20260422300000013732981250102419	,T200P2701831839066023788	,,
2026-04-22 08:03:28,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,12.75,中信银行信用卡(6963),交易成功,2026042222001432981456235230	,0064N202604220000000015385648383	,,
2026-04-19 15:03:46,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_东四_2026-04-19 14:40:58_青年路_2026-04-19 15:03:01,支出,4.00,中信银行信用卡(6963),交易成功,2026041922001432981439584637	,20260419150343084674	,,
2026-04-19 11:03:45,餐饮美食,淘宝闪购,e50***@alibaba-inc.com,爷爷不泡茶(德阳碧乐城店)外卖订单,支出,9.00,云闪付-四川天府银行(5783),交易成功,2026041923001132981432355011	,13110600726041941620855386432	,,
2026-04-18 18:34:40,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,7.29,中信银行信用卡(6963),交易成功,2026041823001432981429734453	,0064N202604180000000015279636731	,,
2026-04-17 19:32:07,交通出行,北京轨道交通路网管理有限公司,zhi***@bmncc.com.cn,地铁_张自忠路_2026-04-17 18:48:45_高碑店_2026-04-17 19:25:42,支出,5.00,中信银行信用卡(6963),交易成功,2026041722001432981425751451	,20260417192646667674	,,
2026-04-17 11:44:21,生活服务,美团,it_***@meituan.com,美团订单-26041711100300001300756513479380,支出,0.99,中信银行信用卡(6963),交易成功,2026041723001432981423375222	,20260417114409U52357916140243484	,,
2026-04-17 00:40:49,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,51.00,中信银行信用卡(6963),交易成功,2026041723001432981419029995	,0001N202604170000000015309416153	,,
2026-04-16 20:46:59,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,7.20,中信银行信用卡(6963),交易成功,2026041623001432981418319756	,0064N202604160000000015250364707	,,
2026-04-16 16:11:24,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,13.21,中信银行信用卡(6963)&中信银行立减金,交易成功,2026041622001432981414168888	,0064N202604160000000015276001333	,,
2026-04-16 08:07:05,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,11.20,中信银行信用卡(6963)&中信银行立减金,交易成功,2026041623001432981414252424	,0064N202604160000000015231582793	,,
2026-04-15 07:58:05,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,12.16,中信银行信用卡(6963)&中信银行立减金,交易成功,2026041523001432981410721673	,0064N202604150000000015284040688	,,
2026-04-14 18:01:20,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,6.65,建设银行信用卡(0796),交易成功,2026041422001432981459338446	,202604141493671936074088450	,,
2026-04-14 08:01:32,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,13.11,中信银行信用卡(6963)&中信银行立减金,交易成功,2026041422001432981401632138	,0064N202604140000000015243489714	,,
2026-04-13 10:13:55,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,0.01,中信银行信用卡(6963)&千问AI体验金,交易成功,2026041322001432981458709504	,0001N202604130000000015232289739	,,
2026-04-12 18:43:41,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026041222001432981451570000	,202604121492957746422251522	,,
2026-04-11 22:18:01,运动户外,特步**店,jk2***@126.com,特步摸高跳训练器助长个子儿童青少年跳高触碰语音计数弹跳煅炼器,支出,0.00,,支付成功,2026041123001132981450321706	,T200P2701831839066023788	,,
2026-04-11 22:18:01,餐饮美食,安琪**店,hea***@angelyeast.com,安琪耐高糖酵母官方正品高活性干酵母粉家用面包馒头专用发酵粉,支出,0.00,,支付成功,2026041123001132981454533711	,T200P2701831839066032970	,,
2026-04-10 09:09:44,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,10.50,中信银行信用卡(6963)&中信银行立减金,交易成功,2026041022001432981441813723	,0064N202604100000000015175770275	,,
2026-04-10 08:37:33,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,10.30,中信银行信用卡(6963)&中信银行立减金,交易成功,2026041022001432981435239476	,0064N202604100000000015184753934	,,
2026-04-09 08:36:06,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,10.50,中信银行信用卡(6963)&中信银行立减金,交易成功,2026040923001432981431482373	,0064N202604090000000015117535445	,,
2026-04-08 08:34:00,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,10.56,中信银行信用卡(6963)&中信银行立减金,交易成功,2026040822001432981421035344	,0064N202604080000000015158385953	,,
2026-04-07 09:22:40,生活服务,杭州菜鸟供应链管理有限公司,gg4***@cainiao.com,菜鸟裹裹-寄件费_1809528549_LP00809077752708等订单,支出,9.29,余额宝,交易成功,2026040723001432981419724218	,CN_V1_602560642306150498	,,
2026-04-03 15:31:30,数码电器,壳侣**店,kel***@163.com,壳侣 简约透明适用苹果17Promax手机壳iPhone16保护套13/14新款xs硅胶xr防摔女15全包7男生xs,支出,10.80,中信银行信用卡(6963),交易成功,2026040323001132981402999762	,T200P2701819776019023788	,,
2026-04-03 15:31:30,餐饮美食,新良**店,hen***@163.com,新良纯享高筋面粉500g日式吐司面包粉烘焙专用高筋粉披萨面粉原料,支出,12.80,中信银行信用卡(6963),交易成功,2026040323001132981404528354	,T200P2701819776019032970	,,
2026-04-03 10:01:27,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,1.45,中信银行信用卡(6963)&千问AI体验金,交易成功,2026040322001432981400761256	,0001N202604030000000015028719850	,,
2026-04-02 20:49:48,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,1.04,中信银行信用卡(6963)&千问AI体验金,交易成功,2026040222001432981401097659	,0001N202604020000000015040069803	,,
2026-04-02 20:46:13,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,7.97,中信银行信用卡(6963),交易成功,2026040223001432981457142978	,0064N202604020000000015037238342	,,
2026-04-02 00:03:43,充值缴费,中国电信,dzq***@chinatelecom-ec.com.cn,为18990149330话费充值,支出,45.00,中信银行信用卡(6963)&千问AI体验金,交易成功,2026040222001432981456140476	,2026040200003100009872084346	,,
2026-04-01 13:17:05,交通出行,北京**服,aoy***@service.aliyun.com,机票订单付款{9505632184549|1_2_2026000553725373373},支出,1491.92,邮储银行信用卡(6838)&邮储银行立减金,交易成功,2026040123001132981449631348	,T1400P2701807717017023788	,,
2026-04-01 08:28:16,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,7.61,中信银行信用卡(6963),交易成功,2026040123001432981447523588	,0064N202604010000000015013790680	,,
2026-03-31 18:24:21,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026033123001432981449123772	,202603311488604298625056770	,,
2026-03-31 08:33:01,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,8.48,中信银行信用卡(6963),交易成功,2026033122001432981444096928	,0064N202603310000000015069984104	,,
2026-03-29 19:05:36,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,26.15,建设银行信用卡(0796),交易成功,2026032922001432981431241848	,202603291487889855943626754	,,
2026-03-29 18:44:07,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,26.15,建设银行信用卡(0796),交易成功,2026032923001432981434046037	,202603291487884556960432130	,,
2026-03-25 12:39:06,宠物,抖音生活服务商家,cds***@bytedance.com,通玩票预售第一波小矮人王国+侏罗纪恐龙世界+拉布布+蛋仔派对+萌宠乐园...,支出,39.60,中信银行信用卡(6963),交易关闭,2026032522001432981404594003	,2001052603250103545086236235	,,
2026-03-25 08:31:12,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,7.07,中信银行信用卡(6963),交易成功,2026032522001432981458007027	,0064N202603250000000014980760826	,,
2026-03-24 18:02:11,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,14.16,建设银行信用卡(0796),交易成功,2026032422001432981453279797	,202603241486061806688043010	,,
2026-03-24 08:29:59,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,7.79,中信银行信用卡(6963),交易成功,2026032422001432981457994286	,0064N202603240000000014901278914	,,
2026-03-22 19:14:34,交通出行,中国建设银行股份有限公司湖南省分行,yud***@sina.com,ETC通行扣费,支出,5.70,建设银行信用卡(0796),交易成功,2026032223001432981448501452	,202603221485355404260704258	,,
2026-03-21 18:09:41,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,6.49,中信银行信用卡(6963),交易成功,2026032123001432981445321929	,0064N202603210000000014866326522	,,
2026-03-20 15:07:46,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,0.18,中信银行信用卡(6963),交易成功,2026032023001432981439071942	,0064N202603200000000014834687638	,,
2026-03-20 13:26:36,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,8.07,中信银行信用卡(6963),交易成功,2026032022001432981438936246	,0064N202603200000000014833351147	,,
2026-03-20 08:09:53,交通出行,高德打车,gdd***@service.aliyun.com,高德打车订单,支出,10.10,中信银行信用卡(6963),交易成功,2026032023001432981434223719	,0064N202603200000000014850164099	,,
2026-03-18 11:37:06,文化休闲,to**店,308***@qq.com,【优惠价】TOI图益儿童进阶拼图3到6岁益智玩具宝宝拼图2到6岁以上儿童玩具 等多件,支出,169.51,中信银行信用卡(6963),交易成功,2026031823001132981425569330	,T200P2701755195035032970	,,
